Gene Symbol	logFC	adj p-value
ENSG00000227715	-3.04964115606793	0.855312358176177
ENSG00000165949	0.972305142596146	0.855312358176177
ENSG00000053747	-0.699997316342291	0.855312358176177
ENSG00000275214	0.956949014810234	0.855312358176177
ENSG00000170522	-0.633329951195573	0.855312358176177
ENSG00000198814	-0.730126738444037	0.855312358176177
ENSG00000157483	-0.522898909035627	0.887355300001744
ENSG00000165416	-0.514057602601004	0.887355300001744
ENSG00000021355	-0.547442951853368	0.99958411649861
ENSG00000151923	0.664379323662781	0.855312358176177
ENSG00000139116	-0.605639606994998	0.887355300001744
ENSG00000115590	-0.529571600048967	0.99958411649861
ENSG00000084093	0.743512496841709	0.855312358176177
ENSG00000147162	0.555615701098852	0.99958411649861
ENSG00000013588	-0.593547693575717	0.99958411649861
ENSG00000144057	-0.990324358318463	0.99958411649861
ENSG00000140323	1.0307970826579	0.855312358176177
ENSG00000127314	-0.347552017378062	0.99958411649861
ENSG00000126003	-0.763185568539696	0.887355300001744
ENSG00000170445	-0.47288944336521	0.99958411649861
ENSG00000138119	-0.402691600617113	0.99958411649861
ENSG00000070610	0.463661097787196	0.99958411649861
ENSG00000226248	0.572245602273801	0.99958411649861
ENSG00000168036	-0.305363173539697	0.99958411649861
ENSG00000186318	1.2849853561443	0.855312358176177
ENSG00000265479	1.05802761490459	0.855312358176177
ENSG00000213719	0.56622678752949	0.99958411649861
ENSG00000223639	0.566219991039919	0.99958411649861
ENSG00000226417	0.566222914995779	0.99958411649861
ENSG00000226651	0.556388487633365	0.99958411649861
ENSG00000108559	-0.439642390046675	0.99958411649861
ENSG00000154217	-0.886688285379627	0.855312358176177
ENSG00000206394	0.558034573059407	0.99958411649861
ENSG00000066651	0.803375294174547	0.855312358176177
ENSG00000100335	-0.518704460620372	0.99958411649861
ENSG00000203880	0.964785066001975	0.855312358176177
ENSG00000175066	0.531337249066738	0.99958411649861
ENSG00000079332	-0.359931048288546	0.99958411649861
ENSG00000154274	-0.457835760098057	0.99958411649861
ENSG00000058085	-0.68475159450434	0.99958411649861
ENSG00000198301	-0.615956843871317	0.99958411649861
ENSG00000141448	-0.672201642469332	0.97005993560805
ENSG00000125089	0.876546451668993	0.855312358176177
ENSG00000120438	-0.407732906935532	0.99958411649861
ENSG00000228263	-1.13241099983573	0.99958411649861
ENSG00000204385	-1.13233565881166	0.99958411649861
ENSG00000231479	-1.13236154968138	0.99958411649861
ENSG00000140262	0.527068189807857	0.99958411649861
ENSG00000113441	0.453813651644304	0.99958411649861
ENSG00000084733	-0.406177377207486	0.99958411649861
ENSG00000135750	-0.526646517043119	0.99958411649861
ENSG00000086062	-0.465030230839045	0.99958411649861
ENSG00000137575	-0.343933160596147	0.99958411649861
ENSG00000170027	-0.522523287168603	0.99958411649861
ENSG00000035403	-0.39984467936019	0.99958411649861
ENSG00000124333	0.735150413059842	0.99958411649861
ENSG00000189334	-0.346775679879247	0.99958411649861
ENSG00000085063	-0.389483860790231	0.99958411649861
ENSG00000184860	-0.702068718910223	0.99958411649861
ENSG00000154582	-0.420723219076698	0.99958411649861
ENSG00000174840	-0.500566897407987	0.99958411649861
ENSG00000263057	-0.388522312978272	0.99958411649861
ENSG00000171431	-0.388225357551572	0.99958411649861
ENSG00000135932	-0.430732938305688	0.99958411649861
ENSG00000167553	-0.411595809755681	0.99958411649861
ENSG00000024526	0.960567599852403	0.97005993560805
ENSG00000103591	-0.419182720373996	0.99958411649861
ENSG00000272325	0.462667109478464	0.99958411649861
ENSG00000143797	-0.48505929074358	0.99958411649861
ENSG00000066322	-0.432622016412013	0.99958411649861
ENSG00000139117	-0.400431042199591	0.99958411649861
ENSG00000089041	1.16745681634788	0.97005993560805
ENSG00000165389	-0.352215244056992	0.99958411649861
ENSG00000107863	-0.310123855632181	0.99958411649861
ENSG00000104320	0.45573354651963	0.99958411649861
ENSG00000159079	-0.682704187220328	0.99958411649861
ENSG00000178409	-0.710072720767352	0.99958411649861
ENSG00000102893	-0.303713569459331	0.99958411649861
ENSG00000111801	1.01094661270665	0.99958411649861
ENSG00000129473	0.872382702294759	0.99958411649861
ENSG00000163281	0.727779004759423	0.99958411649861
ENSG00000206378	-1.48508209236045	0.99958411649861
ENSG00000172936	-0.466615747470419	0.99958411649861
ENSG00000066923	0.789854595643158	0.99958411649861
ENSG00000128000	0.863722924891761	0.99958411649861
ENSG00000281601	0.863722924891761	0.99958411649861
ENSG00000108963	0.872792839831833	0.99958411649861
ENSG00000126709	1.22826847657915	0.99958411649861
ENSG00000263160	0.420560087841173	0.99958411649861
ENSG00000198646	-0.355271442335611	0.99958411649861
ENSG00000142188	0.406681635554886	0.99958411649861
ENSG00000147130	0.989539745775984	0.99958411649861
ENSG00000141232	0.447977170316444	0.99958411649861
ENSG00000066427	0.536191789086015	0.99958411649861
ENSG00000198874	-0.603291380482906	0.99958411649861
ENSG00000242372	-0.323601647054134	0.99958411649861
ENSG00000180530	0.433388837182953	0.99958411649861
ENSG00000176058	-0.991110035377621	0.99958411649861
ENSG00000159166	-0.519823437040449	0.99958411649861
ENSG00000010278	-0.303088388036314	0.99958411649861
ENSG00000075234	-0.617515906624489	0.99958411649861
ENSG00000147526	-0.382047230395516	0.99958411649861
ENSG00000100445	-0.665267966117524	0.99958411649861
ENSG00000124299	0.85795348905275	0.99958411649861
ENSG00000182704	0.784989655918616	0.99958411649861
ENSG00000166479	0.643487355150693	0.99958411649861
ENSG00000154678	0.6225227034789	0.99958411649861
ENSG00000103051	0.48937216766271	0.99958411649861
ENSG00000110429	-0.435588710598664	0.99958411649861
ENSG00000104695	-0.312384952793363	0.99958411649861
ENSG00000123066	-0.4723204094425	0.99958411649861
ENSG00000067955	-0.545211321299486	0.99958411649861
ENSG00000128886	0.62332021588343	0.99958411649861
ENSG00000037897	-0.941139861593038	0.99958411649861
ENSG00000183605	-0.475522061890275	0.99958411649861
ENSG00000127324	-0.243329357645671	0.99958411649861
ENSG00000027697	-0.412451981411889	0.99958411649861
ENSG00000100104	-1.09289567410629	0.99958411649861
ENSG00000060138	-0.362423295644823	0.99958411649861
ENSG00000159921	-0.332008421938537	0.99958411649861
ENSG00000088833	-0.324441941942347	0.99958411649861
ENSG00000150776	-0.513173968306722	0.99958411649861
ENSG00000137845	0.50251149890261	0.99958411649861
ENSG00000153560	-0.461769936616993	0.99958411649861
ENSG00000155849	0.720722783832988	0.99958411649861
ENSG00000262473	-0.815675385669416	0.99958411649861
ENSG00000054654	0.328564660082464	0.99958411649861
ENSG00000089472	-0.267792835425722	0.99958411649861
ENSG00000073969	-0.493547687708212	0.99958411649861
ENSG00000276262	-0.493547687708212	0.99958411649861
ENSG00000275895	-0.856191755467214	0.99958411649861
ENSG00000122378	-0.526840911452428	0.99958411649861
ENSG00000079134	0.523501546290778	0.99958411649861
ENSG00000155657	0.461026992522908	0.99958411649861
ENSG00000205189	-0.481165335196372	0.99958411649861
ENSG00000033030	0.543865745574465	0.99958411649861
ENSG00000138434	-0.34195436162929	0.99958411649861
ENSG00000171634	0.253992907024447	0.99958411649861
ENSG00000145833	0.345724057223484	0.99958411649861
ENSG00000163374	-0.346089075277824	0.99958411649861
ENSG00000118513	-0.509914934218679	0.99958411649861
ENSG00000069345	-0.302137163363901	0.99958411649861
ENSG00000244734	-0.751924560400761	0.99958411649861
ENSG00000067900	0.377642706997103	0.99958411649861
ENSG00000211460	-0.314522683850636	0.99958411649861
ENSG00000133030	-0.467363246420063	0.99958411649861
ENSG00000077235	0.576804908696037	0.99958411649861
ENSG00000108588	-0.341954506387125	0.99958411649861
ENSG00000143367	-0.396193573470193	0.99958411649861
ENSG00000075415	-0.252505784897535	0.99958411649861
ENSG00000225434	0.929467843115913	0.99958411649861
ENSG00000147324	-0.432558611475073	0.99958411649861
ENSG00000232180	1.31504974746628	0.99958411649861
ENSG00000235336	1.31504812154086	0.99958411649861
ENSG00000229077	1.3150380214165	0.99958411649861
ENSG00000159131	-0.362215609928482	0.99958411649861
ENSG00000119392	0.55527182551843	0.99958411649861
ENSG00000067533	-0.545008454304993	0.99958411649861
ENSG00000089902	-0.510452484116956	0.99958411649861
ENSG00000158467	-0.315712253832966	0.99958411649861
ENSG00000135702	-0.629230939404811	0.99958411649861
ENSG00000265354	-0.386849586065329	0.99958411649861
ENSG00000134202	-0.776911910574546	0.99958411649861
ENSG00000145555	-0.426461082116806	0.99958411649861
ENSG00000140284	-0.962791017911505	0.99958411649861
ENSG00000122203	-0.462885673439021	0.99958411649861
ENSG00000182446	-0.380730213880352	0.99958411649861
ENSG00000107186	0.727297897303726	0.99958411649861
ENSG00000164199	0.454623597270568	0.99958411649861
ENSG00000119318	-0.379448893873851	0.99958411649861
ENSG00000105438	-0.422676413495466	0.99958411649861
ENSG00000076258	-0.59103534023286	0.99958411649861
ENSG00000112304	0.334591744569643	0.99958411649861
ENSG00000111653	0.634051851630817	0.99958411649861
ENSG00000136710	0.73209764541712	0.99958411649861
ENSG00000043514	0.718991829051368	0.99958411649861
ENSG00000159593	-0.343672808358089	0.99958411649861
ENSG00000239887	-0.569817019731471	0.99958411649861
ENSG00000196781	-0.46981895286469	0.99958411649861
ENSG00000188732	0.65352435213411	0.99958411649861
ENSG00000101150	-0.648183973511174	0.99958411649861
ENSG00000162909	-0.304013861647524	0.99958411649861
ENSG00000010818	-0.617721817086732	0.99958411649861
ENSG00000147421	0.551704536440758	0.99958411649861
ENSG00000173218	-0.587332680730079	0.99958411649861
ENSG00000110025	0.72618189480756	0.99958411649861
ENSG00000175470	-0.549078468174933	0.99958411649861
ENSG00000164134	-0.390927396870453	0.99958411649861
ENSG00000188229	-0.249226215946479	0.99958411649861
ENSG00000183856	0.582170915428096	0.99958411649861
ENSG00000239789	-0.344439012440576	0.99958411649861
ENSG00000181788	-0.73549579797451	0.99958411649861
ENSG00000092439	0.431233001732748	0.99958411649861
ENSG00000119397	0.430173422688785	0.99958411649861
